fecha,marea,temperatura
2022-05-14T23:05:00Z,1.278,17.1
2022-05-14T23:00:00Z,1.254,17.1
2022-05-14T22:55:00Z,1.253,17.1
2022-05-14T22:50:00Z,1.242,17.2
2022-05-14T22:45:00Z,1.263,17.2
2022-05-14T22:40:00Z,1.284,17.3
2022-05-14T22:35:00Z,1.261,17.3
2022-05-14T22:30:00Z,1.187,17.3
2022-05-14T22:25:00Z,1.211,17.3
2022-05-14T22:20:00Z,1.152,17.3
2022-05-14T22:15:00Z,1.196,17.3
2022-05-14T22:10:00Z,1.212,17.3
2022-05-14T22:05:00Z,1.15,17.3
2022-05-14T22:00:00Z,1.129,17.3
2022-05-14T21:55:00Z,1.118,17.3
2022-05-14T21:50:00Z,1.099,17.4
2022-05-14T21:45:00Z,1.082,17.4
2022-05-14T21:40:00Z,1.096,17.4
2022-05-14T21:35:00Z,1.07,17.4
2022-05-14T21:30:00Z,1.09,17.4
2022-05-14T21:25:00Z,1.078,17.5
2022-05-14T21:20:00Z,1.037,17.5
2022-05-14T21:15:00Z,1.034,17.5
2022-05-14T21:10:00Z,1.08,17.5
2022-05-14T21:05:00Z,1.042,17.5
2022-05-14T21:00:00Z,1.084,17.4
2022-05-14T20:55:00Z,1.081,17.4
2022-05-14T20:50:00Z,1.011,17.4
2022-05-14T20:45:00Z,1.029,17.4
2022-05-14T20:40:00Z,1.046,17.4
2022-05-14T20:35:00Z,1.023,17.4
2022-05-14T20:30:00Z,1.034,17.4
2022-05-14T20:25:00Z,1.023,17.5
2022-05-14T20:20:00Z,1.055,17.4
2022-05-14T20:15:00Z,1.029,17.4
2022-05-14T20:10:00Z,1.074,17.4
2022-05-14T20:05:00Z,1.075,17.4
2022-05-14T20:00:00Z,1.051,17.4
2022-05-14T19:55:00Z,1.115,17.4
2022-05-14T19:50:00Z,1.13,17.4
2022-05-14T19:45:00Z,1.12,17.4
2022-05-14T19:40:00Z,1.12,17.4
2022-05-14T19:35:00Z,1.059,17.4
2022-05-14T19:30:00Z,1.117,17.4
2022-05-14T19:25:00Z,1.118,17.5
2022-05-14T19:20:00Z,1.131,17.5
2022-05-14T19:15:00Z,1.182,17.5
2022-05-14T19:10:00Z,1.2,17.5
2022-05-14T19:05:00Z,1.186,17.6
2022-05-14T19:00:00Z,1.142,17.6
2022-05-14T18:55:00Z,1.185,17.6
2022-05-14T18:50:00Z,1.157,17.6
2022-05-14T18:45:00Z,1.23,17.6
2022-05-14T18:40:00Z,1.193,17.6
2022-05-14T18:35:00Z,1.204,17.6
2022-05-14T18:30:00Z,1.192,17.6
2022-05-14T18:25:00Z,1.206,17.6
2022-05-14T18:20:00Z,1.176,17.5
2022-05-14T18:15:00Z,1.186,17.5
2022-05-14T18:10:00Z,1.19,17.6
2022-05-14T18:05:00Z,1.208,17.6
2022-05-14T18:00:00Z,1.21,17.6
2022-05-14T17:55:00Z,1.204,17.6
2022-05-14T17:50:00Z,1.247,17.6
2022-05-14T17:45:00Z,1.228,17.6
2022-05-14T17:40:00Z,1.241,17.6
2022-05-14T17:35:00Z,1.246,17.6
2022-05-14T17:30:00Z,1.259,17.6
2022-05-14T17:25:00Z,1.237,17.7
2022-05-14T17:20:00Z,1.276,17.7
2022-05-14T17:15:00Z,1.275,17.7
2022-05-14T17:10:00Z,1.234,17.7
2022-05-14T17:05:00Z,1.284,17.7
2022-05-14T17:00:00Z,1.237,17.7
2022-05-14T16:55:00Z,1.308,17.7
2022-05-14T16:50:00Z,1.278,17.7
2022-05-14T16:45:00Z,1.251,17.6
2022-05-14T16:40:00Z,1.278,17.6
2022-05-14T16:35:00Z,1.273,17.6
2022-05-14T16:30:00Z,1.269,17.6
2022-05-14T16:25:00Z,1.23,17.6
2022-05-14T16:20:00Z,1.271,17.6
2022-05-14T16:15:00Z,1.24,17.6
2022-05-14T16:10:00Z,1.233,17.6
2022-05-14T16:05:00Z,1.233,17.6
2022-05-14T16:00:00Z,1.273,17.6
2022-05-14T15:55:00Z,1.217,17.6
2022-05-14T15:50:00Z,1.218,17.6
2022-05-14T15:45:00Z,1.233,17.6
2022-05-14T15:40:00Z,1.185,17.6
2022-05-14T15:35:00Z,1.23,17.6
2022-05-14T15:30:00Z,1.206,17.6
2022-05-14T15:25:00Z,1.166,17.5
2022-05-14T15:20:00Z,1.217,17.5
2022-05-14T15:15:00Z,1.211,17.5
2022-05-14T15:10:00Z,1.213,17.5
2022-05-14T15:05:00Z,1.168,17.4
2022-05-14T15:00:00Z,1.18,17.4
2022-05-14T14:55:00Z,1.169,17.4
2022-05-14T14:50:00Z,1.104,17.4
2022-05-14T14:45:00Z,1.152,17.4
2022-05-14T14:40:00Z,1.106,17.4
2022-05-14T14:35:00Z,1.082,17.4
2022-05-14T14:30:00Z,1.114,17.4
2022-05-14T14:25:00Z,1.104,17.3
2022-05-14T14:20:00Z,1.08,17.3
2022-05-14T14:15:00Z,1.033,17.3
2022-05-14T14:10:00Z,0.897,17.3
2022-05-14T14:05:00Z,1.043,17.3
2022-05-14T14:00:00Z,1.059,17.3
2022-05-14T13:55:00Z,1.07,17.3
2022-05-14T13:50:00Z,1.077,17.3
2022-05-14T13:45:00Z,1.019,17.3
2022-05-14T13:40:00Z,1.01,17.3
2022-05-14T13:35:00Z,0.984,17.3
2022-05-14T13:30:00Z,0.998,17.3
2022-05-14T13:25:00Z,0.968,17.3
2022-05-14T13:20:00Z,0.944,17.2
2022-05-14T13:15:00Z,0.913,17.2
2022-05-14T13:10:00Z,0.954,17.2
2022-05-14T13:05:00Z,0.881,17.1
2022-05-14T13:00:00Z,0.897,17.1
2022-05-14T12:55:00Z,0.885,17.1
2022-05-14T12:50:00Z,0.875,17.1
2022-05-14T12:45:00Z,0.865,17.1
2022-05-14T12:40:00Z,0.881,17
2022-05-14T12:35:00Z,0.853,17
2022-05-14T12:30:00Z,0.861,17
2022-05-14T12:25:00Z,0.829,17
2022-05-14T12:20:00Z,0.872,17
2022-05-14T12:15:00Z,0.834,17.1
2022-05-14T12:10:00Z,0.847,17.1
2022-05-14T12:05:00Z,0.828,17.1
2022-05-14T12:00:00Z,0.809,17.1
2022-05-14T11:55:00Z,0.813,17.1
2022-05-14T11:50:00Z,0.802,17
2022-05-14T11:45:00Z,0.781,17
2022-05-14T11:40:00Z,0.772,17
2022-05-14T11:35:00Z,0.757,17
2022-05-14T11:30:00Z,0.784,17
2022-05-14T11:25:00Z,0.731,17
2022-05-14T11:20:00Z,0.718,17
2022-05-14T11:15:00Z,0.751,17
2022-05-14T11:10:00Z,0.737,17
2022-05-14T11:05:00Z,0.69,17
2022-05-14T11:00:00Z,0.702,17
2022-05-14T10:55:00Z,0.695,17
2022-05-14T10:50:00Z,0.694,17
2022-05-14T10:45:00Z,0.715,17
2022-05-14T10:40:00Z,0.617,17
2022-05-14T10:35:00Z,0.652,17
2022-05-14T10:30:00Z,0.617,16.9
2022-05-14T10:25:00Z,0.641,16.9
2022-05-14T10:20:00Z,0.618,16.9
2022-05-14T10:15:00Z,0.634,16.9
2022-05-14T10:10:00Z,0.673,16.8
2022-05-14T10:05:00Z,0.581,16.7
2022-05-14T10:00:00Z,0.656,16.7
2022-05-14T09:55:00Z,0.649,16.6
2022-05-14T09:50:00Z,0.59,16.5
2022-05-14T09:45:00Z,0.568,16.5
2022-05-14T09:40:00Z,0.557,16.5
2022-05-14T09:35:00Z,0.54,16.5
2022-05-14T09:30:00Z,0.504,16.5
2022-05-14T09:25:00Z,0.493,16.6
2022-05-14T09:20:00Z,0.483,16.6
2022-05-14T09:15:00Z,0.498,16.7
2022-05-14T09:10:00Z,0.45,16.7
2022-05-14T09:05:00Z,0.481,16.7
2022-05-14T09:00:00Z,0.468,16.7
2022-05-14T08:55:00Z,0.444,16.7
2022-05-14T08:50:00Z,0.4,16.7
2022-05-14T08:45:00Z,0.503,16.7
2022-05-14T08:40:00Z,0.42,16.7
2022-05-14T08:35:00Z,0.398,16.7
2022-05-14T08:30:00Z,0.387,16.7
2022-05-14T08:25:00Z,0.394,16.7
2022-05-14T08:20:00Z,0.378,16.7
2022-05-14T08:15:00Z,0.361,16.7
2022-05-14T08:10:00Z,0.335,16.7
2022-05-14T08:05:00Z,0.361,16.7
2022-05-14T08:00:00Z,0.317,16.7
2022-05-14T07:55:00Z,0.351,16.7
2022-05-14T07:50:00Z,0.339,16.7
2022-05-14T07:45:00Z,0.388,16.6
2022-05-14T07:40:00Z,0.362,16.6
2022-05-14T07:35:00Z,0.35,16.6
2022-05-14T07:30:00Z,0.371,16.7
2022-05-14T07:25:00Z,0.381,16.6
2022-05-14T07:20:00Z,0.379,16.6
2022-05-14T07:15:00Z,0.385,16.6
2022-05-14T07:10:00Z,0.384,16.6
2022-05-14T07:05:00Z,0.374,16.5
2022-05-14T07:00:00Z,0.309,16.4
2022-05-14T06:55:00Z,0.369,16.4
2022-05-14T06:50:00Z,0.342,16.4
2022-05-14T06:45:00Z,0.321,16.4
2022-05-14T06:40:00Z,0.349,16.4
2022-05-14T06:35:00Z,0.372,16.4
2022-05-14T06:30:00Z,0.381,16.4
2022-05-14T06:25:00Z,0.347,16.4
2022-05-14T06:20:00Z,0.338,16.3
2022-05-14T06:15:00Z,0.369,16.2
2022-05-14T06:10:00Z,0.382,16.2
2022-05-14T06:05:00Z,0.378,16.2
2022-05-14T06:00:00Z,0.343,16.2
2022-05-14T05:55:00Z,0.376,16.3
2022-05-14T05:50:00Z,0.421,16.3
2022-05-14T05:45:00Z,0.366,16.3
2022-05-14T05:40:00Z,0.363,16.3
2022-05-14T05:35:00Z,0.365,16.3
2022-05-14T05:30:00Z,0.365,16.3
2022-05-14T05:25:00Z,0.356,16.3
2022-05-14T05:20:00Z,0.353,16.3
2022-05-14T05:15:00Z,0.32,16.3
2022-05-14T05:10:00Z,0.318,16.3
2022-05-14T05:05:00Z,0.361,16.4
2022-05-14T05:00:00Z,0.384,16.3
2022-05-14T04:55:00Z,0.337,16.3
2022-05-14T04:50:00Z,0.343,16.3
2022-05-14T04:45:00Z,0.391,16.3
2022-05-14T04:40:00Z,0.373,16.4
2022-05-14T04:35:00Z,0.351,16.3
2022-05-14T04:30:00Z,0.374,16.3
2022-05-14T04:25:00Z,0.384,16.3
2022-05-14T04:20:00Z,0.329,16.3
2022-05-14T04:15:00Z,0.351,16.3
2022-05-14T04:10:00Z,0.341,16.3
2022-05-14T04:05:00Z,0.361,16.3
2022-05-14T04:00:00Z,0.352,16.3
2022-05-14T03:55:00Z,0.386,16.3
2022-05-14T03:50:00Z,0.342,16.4
2022-05-14T03:45:00Z,0.362,16.4
2022-05-14T03:40:00Z,0.338,16.4
2022-05-14T03:35:00Z,0.345,16.4
2022-05-14T03:30:00Z,0.307,16.4
2022-05-14T03:25:00Z,0.32,16.4
2022-05-14T03:20:00Z,0.34,16.4
2022-05-14T03:15:00Z,0.327,16.4
2022-05-14T03:10:00Z,0.359,16.4
