fecha,marea
2022-05-30T23:25:02Z,1.651
2022-05-30T23:20:02Z,1.638
2022-05-30T23:15:02Z,1.683
2022-05-30T23:10:02Z,1.69
2022-05-30T23:05:02Z,1.706
2022-05-30T23:00:02Z,1.71
2022-05-30T22:55:02Z,1.69
2022-05-30T22:50:02Z,1.718
2022-05-30T22:45:02Z,1.695
2022-05-30T22:40:02Z,1.79
2022-05-30T22:35:02Z,1.756
2022-05-30T22:30:02Z,1.768
2022-05-30T22:25:02Z,1.74
2022-05-30T22:20:02Z,1.756
2022-05-30T22:15:02Z,1.776
2022-05-30T22:10:02Z,1.743
2022-05-30T22:05:02Z,1.711
2022-05-30T22:00:02Z,1.734
2022-05-30T21:55:02Z,1.679
2022-05-30T21:50:02Z,1.732
2022-05-30T21:45:02Z,1.715
2022-05-30T21:40:02Z,1.719
2022-05-30T21:35:02Z,1.733
2022-05-30T21:30:02Z,1.657
2022-05-30T21:25:02Z,1.738
2022-05-30T21:20:02Z,1.652
2022-05-30T21:15:02Z,1.723
2022-05-30T21:10:02Z,1.689
2022-05-30T21:05:02Z,1.645
2022-05-30T21:00:02Z,1.653
2022-05-30T20:55:02Z,1.674
2022-05-30T20:50:02Z,1.598
2022-05-30T20:45:02Z,1.567
2022-05-30T20:40:02Z,1.613
2022-05-30T20:35:02Z,1.59
2022-05-30T20:30:02Z,1.65
2022-05-30T20:25:02Z,1.611
2022-05-30T20:20:02Z,1.617
2022-05-30T20:15:02Z,1.611
2022-05-30T20:10:02Z,1.584
2022-05-30T20:05:02Z,1.568
2022-05-30T20:00:02Z,1.619
2022-05-30T19:55:02Z,1.533
2022-05-30T19:50:02Z,1.556
2022-05-30T19:45:02Z,1.571
2022-05-30T19:40:02Z,1.545
2022-05-30T19:35:02Z,1.55
2022-05-30T19:30:02Z,1.565
2022-05-30T19:25:02Z,1.555
2022-05-30T19:20:02Z,1.486
2022-05-30T19:15:02Z,1.531
2022-05-30T19:10:02Z,1.512
2022-05-30T19:05:02Z,1.429
2022-05-30T19:00:02Z,1.566
2022-05-30T18:55:02Z,1.599
2022-05-30T18:50:02Z,1.547
2022-05-30T18:45:02Z,1.511
2022-05-30T18:40:02Z,1.519
2022-05-30T18:35:02Z,1.489
