fecha,marea,temperatura
2022-09-05T23:00:00Z,0.818,14.2
2022-09-05T23:20:00Z,0.821,14.2
2022-09-05T22:55:00Z,0.813,14.2
2022-09-05T22:50:00Z,0.834,14.2
2022-09-05T22:45:00Z,0.835,14.2
2022-09-05T23:15:00Z,0.823,14.2
2022-09-05T23:05:00Z,0.823,14.2
2022-09-05T23:00:00Z,0.818,14.2
2022-09-05T22:55:00Z,0.813,14.2
2022-09-05T22:50:00Z,0.834,14.2
2022-09-05T22:40:00Z,0.816,14.3
2022-09-05T22:35:00Z,0.817,14.3
2022-09-05T22:30:00Z,0.84,14.3
2022-09-05T22:25:00Z,0.828,14.3
2022-09-05T22:20:00Z,0.838,14.3
2022-09-05T22:15:00Z,0.844,14.3
2022-09-05T22:10:00Z,0.844,14.3
2022-09-05T22:05:00Z,0.84,14.3
2022-09-05T22:00:00Z,0.857,14.3
2022-09-05T21:55:00Z,0.874,14.3
2022-09-05T21:45:00Z,0.891,14.4
2022-09-05T21:50:00Z,0.875,14.3
2022-09-05T21:40:00Z,0.896,14.4
2022-09-05T21:35:00Z,0.886,14.4
2022-09-05T21:30:00Z,0.867,14.4
2022-09-05T21:25:00Z,0.867,14.4
2022-09-05T21:20:00Z,0.875,14.4
2022-09-05T21:15:00Z,0.848,14.3
2022-09-05T21:10:00Z,0.841,14.3
2022-09-05T21:05:00Z,0.868,14.3
2022-09-05T21:00:00Z,0.891,14.3
2022-09-05T20:55:00Z,0.871,14.3
2022-09-05T20:50:00Z,0.879,14.3
2022-09-05T20:45:00Z,0.931,14.3
2022-09-05T20:40:00Z,0.927,14.3
2022-09-05T20:35:00Z,0.911,14.3
2022-09-05T20:25:00Z,0.902,14.3
2022-09-05T20:20:00Z,0.907,14.3
2022-09-05T20:30:00Z,0.927,14.3
2022-09-05T20:15:00Z,0.913,14.2
2022-09-05T20:25:00Z,0.902,14.3
2022-09-05T20:20:00Z,0.907,14.3
2022-09-05T20:10:00Z,0.872,14.2
2022-09-05T20:05:00Z,0.866,14.2
2022-09-05T20:00:00Z,0.838,14.2
2022-09-05T19:55:00Z,0.896,14.2
2022-09-05T19:50:00Z,0.884,14.2
2022-09-05T19:45:00Z,0.876,14.2
2022-09-05T19:40:00Z,0.903,14.2
2022-09-05T19:35:00Z,0.89,14.2
2022-09-05T19:30:00Z,0.892,14.1
2022-09-05T19:25:00Z,0.917,14.1
2022-09-05T19:20:00Z,0.881,14.1
2022-09-05T19:15:00Z,0.863,14.1
2022-09-05T19:10:00Z,0.884,14
2022-09-05T19:05:00Z,0.886,14
2022-09-05T19:00:00Z,0.843,13.9
2022-09-05T18:55:00Z,0.843,13.8
2022-09-05T18:50:00Z,0.838,13.8
2022-09-05T18:45:00Z,0.822,13.8
2022-09-05T18:40:00Z,0.821,13.8
2022-09-05T18:35:00Z,0.81,13.8
2022-09-05T18:30:00Z,0.822,13.8
2022-09-05T18:25:00Z,0.818,13.8
2022-09-05T18:20:00Z,0.82,13.8
2022-09-05T18:15:00Z,0.82,13.7
2022-09-05T18:10:00Z,0.818,13.7
2022-09-05T18:05:00Z,0.802,13.7
2022-09-05T18:00:00Z,0.792,13.7
2022-09-05T17:55:00Z,0.788,13.6
2022-09-05T17:50:00Z,0.773,13.6
2022-09-05T17:45:00Z,0.757,13.6
2022-09-05T17:40:00Z,0.747,13.5
