fecha,marea
2022-08-16T23:25:02Z,1.044
2022-08-16T23:20:02Z,1.044
2022-08-16T23:15:02Z,1.034
2022-08-16T23:10:02Z,1.04
2022-08-16T23:05:02Z,0.993
2022-08-16T23:00:02Z,0.895
2022-08-16T22:55:02Z,0.93
2022-08-16T22:50:02Z,1.05
2022-08-16T22:45:02Z,0.845
2022-08-16T22:40:02Z,0.937
2022-08-16T22:35:02Z,0.91
2022-08-16T22:30:03Z,0.879
2022-08-16T22:25:03Z,0.908
2022-08-16T22:20:02Z,0.929
2022-08-16T22:15:02Z,0.874
2022-08-16T22:10:02Z,0.891
2022-08-16T22:05:02Z,0.933
2022-08-16T22:00:02Z,0.864
2022-08-16T21:55:02Z,0.887
2022-08-16T21:50:02Z,1
2022-08-16T21:45:02Z,0.947
2022-08-16T21:40:02Z,0.976
2022-08-16T21:35:02Z,0.867
2022-08-16T21:30:02Z,0.905
2022-08-16T21:25:02Z,0.867
2022-08-16T21:20:02Z,0.904
2022-08-16T21:15:02Z,1.025
2022-08-16T21:10:02Z,1.068
2022-08-16T21:05:02Z,0.934
2022-08-16T21:00:02Z,0.844
2022-08-16T20:55:02Z,0.929
2022-08-16T20:50:02Z,0.9
2022-08-16T20:45:02Z,0.936
2022-08-16T20:40:02Z,0.974
2022-08-16T20:35:02Z,0.909
2022-08-16T20:30:02Z,0.94
2022-08-16T20:25:02Z,0.818
2022-08-16T20:20:02Z,1.038
2022-08-16T20:15:02Z,1.038
2022-08-16T20:10:02Z,0.929
2022-08-16T20:05:02Z,0.955
2022-08-16T20:00:02Z,1.014
2022-08-16T19:55:02Z,0.974
2022-08-16T19:50:02Z,1.085
2022-08-16T19:45:02Z,1.03
2022-08-16T19:40:02Z,1.064
2022-08-16T19:35:02Z,1.1
2022-08-16T19:30:02Z,1.059
2022-08-16T19:25:02Z,1.172
2022-08-16T19:20:02Z,1.116
2022-08-16T19:15:02Z,1.056
2022-08-16T19:10:02Z,1.214
2022-08-16T19:05:02Z,1.253
2022-08-16T19:00:02Z,1.129
2022-08-16T18:55:02Z,1.272
2022-08-16T18:50:02Z,1.15
2022-08-16T18:45:02Z,1.073
2022-08-16T18:40:02Z,1.1
2022-08-16T18:35:02Z,1.165
2022-08-16T18:30:02Z,1.227
2022-08-16T18:25:02Z,1.207
2022-08-16T18:20:02Z,1.146
2022-08-16T18:15:02Z,1.155
2022-08-16T18:10:02Z,1.172
2022-08-16T18:05:02Z,1.105
2022-08-16T18:00:02Z,1.122
2022-08-16T17:55:02Z,1.073
2022-08-16T17:50:02Z,1.141
2022-08-16T17:45:02Z,1.141
2022-08-16T17:40:02Z,1.047
2022-08-16T17:35:02Z,0.959
2022-08-16T17:30:02Z,1.125
2022-08-16T17:25:02Z,1.16
2022-08-16T17:20:02Z,1.105
2022-08-16T17:15:02Z,1.039
2022-08-16T17:10:02Z,1.053
2022-08-16T17:05:02Z,0.96
2022-08-16T17:00:02Z,1.065
2022-08-16T16:55:02Z,0.996
2022-08-16T16:50:02Z,1.122
2022-08-16T16:45:02Z,1.041
2022-08-16T16:40:02Z,1.032
2022-08-16T16:35:02Z,1.065
2022-08-16T16:30:02Z,0.935
2022-08-16T16:25:02Z,1.066
2022-08-16T16:20:02Z,1.004
2022-08-16T16:15:02Z,1.063
2022-08-16T16:10:02Z,1.106
2022-08-16T16:05:02Z,1.021
2022-08-16T16:00:02Z,1.088
2022-08-16T15:55:02Z,1.002
2022-08-16T15:50:02Z,1.079
2022-08-16T15:45:02Z,1.05
2022-08-16T15:40:02Z,1.094
2022-08-16T15:35:02Z,1.026
2022-08-16T15:30:02Z,1.032
2022-08-16T15:25:02Z,1.157
2022-08-16T15:20:02Z,1.086
2022-08-16T15:15:02Z,1.152
2022-08-16T15:10:02Z,1.181
2022-08-16T15:05:02Z,1.135
2022-08-16T15:00:02Z,1.267
2022-08-16T14:55:02Z,1.219
2022-08-16T14:50:02Z,1.191
2022-08-16T14:45:02Z,1.176
2022-08-16T14:40:02Z,1.069
2022-08-16T14:35:02Z,1.126
2022-08-16T14:30:02Z,1.209
2022-08-16T14:25:02Z,1.217
2022-08-16T14:20:02Z,1.255
2022-08-16T14:15:02Z,1.162
2022-08-16T14:10:02Z,1.261
2022-08-16T14:05:02Z,1.207
2022-08-16T14:00:02Z,1.269
