fecha,marea,temperatura
2022-09-03T23:25:00Z,0.724,13.5
2022-09-03T23:20:00Z,0.711,13.5
2022-09-03T23:15:00Z,0.717,13.5
2022-09-03T23:05:00Z,0.717,13.5
2022-09-03T23:10:00Z,0.735,13.5
2022-09-03T22:55:00Z,0.729,13.5
2022-09-03T23:00:00Z,0.732,13.5
2022-09-03T22:50:00Z,0.729,13.5
2022-09-03T22:45:00Z,0.757,13.5
2022-09-03T22:40:00Z,0.752,13.5
2022-09-03T22:30:00Z,0.747,13.5
2022-09-03T22:25:00Z,0.764,13.6
2022-09-03T22:35:00Z,0.747,13.5
2022-09-03T22:30:00Z,0.747,13.5
2022-09-03T22:20:00Z,0.785,13.6
2022-09-03T22:15:00Z,0.792,13.6
2022-09-03T22:10:00Z,0.816,13.6
2022-09-03T22:05:00Z,0.809,13.6
2022-09-03T22:00:00Z,0.781,13.6
2022-09-03T21:55:00Z,0.807,13.6
2022-09-03T21:50:00Z,0.799,13.6
2022-09-03T21:45:00Z,0.805,13.6
2022-09-03T21:40:00Z,0.795,13.6
2022-09-03T21:35:00Z,0.812,13.6
2022-09-03T21:30:00Z,0.828,13.6
2022-09-03T21:25:00Z,0.829,13.6
2022-09-03T21:20:00Z,0.837,13.6
2022-09-03T21:15:00Z,0.832,13.6
2022-09-03T21:10:00Z,0.821,13.6
2022-09-03T21:05:00Z,0.821,13.5
2022-09-03T20:55:00Z,0.819,13.5
2022-09-03T21:00:00Z,0.817,13.5
2022-09-03T20:50:00Z,0.807,13.5
2022-09-03T20:45:00Z,0.795,13.5
2022-09-03T20:40:00Z,0.81,13.4
2022-09-03T20:35:00Z,0.814,13.4
2022-09-03T20:30:00Z,0.803,13.4
2022-09-03T20:25:00Z,0.82,13.4
2022-09-03T20:20:00Z,0.812,13.3
2022-09-03T20:15:00Z,0.816,13.3
2022-09-03T20:10:00Z,0.838,13.3
2022-09-03T20:00:00Z,0.85,13.2
2022-09-03T19:55:00Z,0.861,13.2
2022-09-03T20:05:00Z,0.848,13.3
2022-09-03T19:50:00Z,0.866,13.2
2022-09-03T19:45:00Z,0.863,13.2
2022-09-03T19:40:00Z,0.837,13.2
2022-09-03T20:00:00Z,0.85,13.2
2022-09-03T19:55:00Z,0.861,13.2
2022-09-03T19:45:00Z,0.863,13.2
2022-09-03T19:35:00Z,0.838,13.2
2022-09-03T19:30:00Z,0.835,13.2
2022-09-03T19:25:00Z,0.828,13.2
2022-09-03T19:20:00Z,0.833,13.2
2022-09-03T19:10:00Z,0.815,13.2
2022-09-03T19:05:00Z,0.828,13.1
2022-09-03T19:00:00Z,0.805,13.1
2022-09-03T19:15:00Z,0.816,13.2
2022-09-03T18:55:00Z,0.83,13.1
2022-09-03T18:50:00Z,0.831,13.1
2022-09-03T19:05:00Z,0.828,13.1
2022-09-03T19:00:00Z,0.805,13.1
2022-09-03T18:45:00Z,0.834,13.1
2022-09-03T18:40:00Z,0.837,13
2022-09-03T18:55:00Z,0.83,13.1
2022-09-03T18:35:00Z,0.852,13
2022-09-03T18:30:00Z,0.841,13
2022-09-03T18:50:00Z,0.831,13.1
2022-09-03T18:45:00Z,0.834,13.1
2022-09-03T18:25:00Z,0.822,12.9
2022-09-03T18:20:00Z,0.846,12.9
2022-09-03T18:15:00Z,0.848,12.9
2022-09-03T18:40:00Z,0.837,13
2022-09-03T18:25:00Z,0.822,12.9
2022-09-03T18:10:00Z,0.832,12.8
2022-09-03T18:05:00Z,0.833,12.8
2022-09-03T18:20:00Z,0.846,12.9
2022-09-03T18:00:00Z,0.82,12.8
2022-09-03T18:15:00Z,0.848,12.9
2022-09-03T17:55:00Z,0.861,12.8
2022-09-03T17:50:00Z,0.854,12.8
2022-09-03T17:45:00Z,0.84,12.8
2022-09-03T17:40:00Z,0.835,12.8
2022-09-03T17:35:00Z,0.826,12.8
2022-09-03T17:25:00Z,0.855,12.8
2022-09-03T17:30:00Z,0.832,12.8
2022-09-03T17:20:00Z,0.819,12.8
2022-09-03T17:15:00Z,0.837,12.8
2022-09-03T17:10:00Z,0.857,12.8
2022-09-03T17:05:00Z,0.861,12.8
2022-09-03T17:00:00Z,0.823,12.8
2022-09-03T16:55:00Z,0.846,12.8
2022-09-03T16:50:00Z,0.862,12.8
2022-09-03T16:45:00Z,0.829,12.7
2022-09-03T16:40:00Z,0.819,12.7
2022-09-03T16:35:00Z,0.848,12.7
2022-09-03T16:30:00Z,0.823,12.7
2022-09-03T16:25:00Z,0.807,12.7
2022-09-03T16:20:00Z,0.798,12.7
2022-09-03T16:15:00Z,0.806,12.7
2022-09-03T16:10:00Z,0.818,12.7
2022-09-03T16:05:00Z,0.81,12.8
2022-09-03T16:00:00Z,0.815,12.8
2022-09-03T15:55:00Z,0.821,12.8
2022-09-03T15:45:00Z,0.815,12.8
2022-09-03T15:40:00Z,0.817,12.8
2022-09-03T15:35:00Z,0.82,12.8
2022-09-03T15:50:00Z,0.826,12.8
2022-09-03T15:30:00Z,0.82,12.8
2022-09-03T15:40:00Z,0.817,12.8
2022-09-03T15:35:00Z,0.82,12.8
2022-09-03T15:25:00Z,0.793,12.8
2022-09-03T15:20:00Z,0.807,12.8
2022-09-03T15:15:00Z,0.811,12.9
2022-09-03T15:10:00Z,0.787,12.9
2022-09-03T15:05:00Z,0.8,12.9
2022-09-03T15:00:00Z,0.798,12.9
2022-09-03T14:55:00Z,0.789,12.9
2022-09-03T14:50:00Z,0.769,12.9
2022-09-03T14:45:00Z,0.747,12.9
2022-09-03T14:40:00Z,0.728,12.9
2022-09-03T14:35:00Z,0.755,12.9
2022-09-03T14:30:00Z,0.756,12.9
2022-09-03T14:25:00Z,0.744,12.9
2022-09-03T14:15:00Z,0.779,12.9
2022-09-03T14:20:00Z,0.742,12.9
2022-09-03T14:10:00Z,0.756,12.9
2022-09-03T14:00:00Z,0.787,12.8
2022-09-03T14:05:00Z,0.773,12.8
2022-09-03T13:50:00Z,0.789,12.8
2022-09-03T13:55:00Z,0.79,12.8
2022-09-03T13:45:00Z,0.793,12.8
2022-09-03T13:40:00Z,0.808,12.8
2022-09-03T13:35:00Z,0.802,12.8
2022-09-03T13:30:00Z,0.813,12.7
2022-09-03T13:20:00Z,0.812,12.7
2022-09-03T13:25:00Z,0.806,12.7
2022-09-03T13:15:00Z,0.842,12.7
2022-09-03T13:10:00Z,0.838,12.7
2022-09-03T13:05:00Z,0.836,12.7
2022-09-03T13:00:00Z,0.861,12.7
2022-09-03T12:55:00Z,0.892,12.7
2022-09-03T12:50:00Z,0.878,12.6
2022-09-03T12:45:00Z,0.909,12.6
2022-09-03T12:40:00Z,0.945,12.6
2022-09-03T12:35:00Z,0.935,12.6
2022-09-03T12:30:00Z,0.938,12.6
2022-09-03T12:25:00Z,0.964,12.6
2022-09-03T12:20:00Z,0.971,12.6
2022-09-03T12:15:00Z,0.987,12.6
2022-09-03T12:10:00Z,1.021,12.6
2022-09-03T12:05:00Z,1.033,12.6
2022-09-03T12:00:00Z,1.047,12.6
2022-09-03T11:55:00Z,1.057,12.6
2022-09-03T11:50:00Z,1.086,12.5
2022-09-03T11:45:00Z,1.092,12.5
2022-09-03T11:40:00Z,1.112,12.5
2022-09-03T11:35:00Z,1.149,12.5
2022-09-03T11:30:00Z,1.14,12.5
2022-09-03T11:25:00Z,1.169,12.5
2022-09-03T11:20:00Z,1.177,12.5
2022-09-03T11:15:00Z,1.176,12.5
2022-09-03T11:10:00Z,1.179,12.5
2022-09-03T11:05:00Z,1.201,12.5
2022-09-03T11:00:00Z,1.208,12.5
2022-09-03T10:55:00Z,1.224,12.5
2022-09-03T10:50:00Z,1.226,12.5
2022-09-03T10:45:00Z,1.229,12.5
2022-09-03T10:35:00Z,1.248,12.5
2022-09-03T10:40:00Z,1.239,12.5
2022-09-03T10:30:00Z,1.254,12.5
2022-09-03T10:25:00Z,1.252,12.5
2022-09-03T10:20:00Z,1.263,12.6
2022-09-03T10:15:00Z,1.255,12.6
2022-09-03T10:10:00Z,1.262,12.6
2022-09-03T10:05:00Z,1.264,12.6
2022-09-03T09:55:00Z,1.238,12.6
2022-09-03T09:50:00Z,1.269,12.6
2022-09-03T10:00:00Z,1.255,12.6
2022-09-03T09:55:00Z,1.238,12.6
2022-09-03T09:45:00Z,1.253,12.6
2022-09-03T09:35:00Z,1.278,12.6
2022-09-03T09:40:00Z,1.252,12.6
2022-09-03T09:30:00Z,1.28,12.6
2022-09-03T09:25:00Z,1.283,12.6
2022-09-03T09:20:00Z,1.304,12.6
2022-09-03T09:15:00Z,1.301,12.6
2022-09-03T09:10:00Z,1.275,12.6
2022-09-03T09:05:00Z,1.301,12.6
2022-09-03T09:00:00Z,1.302,12.7
2022-09-03T08:55:00Z,1.283,12.7
2022-09-03T08:50:00Z,1.272,12.7
2022-09-03T08:45:00Z,1.291,12.7
2022-09-03T08:40:00Z,1.269,12.7
2022-09-03T08:35:00Z,1.291,12.7
