fecha,marea,temperatura
2022-06-07T23:25:00Z,0.87,12
2022-06-07T23:20:00Z,0.862,11.9
2022-06-07T23:15:00Z,0.877,11.9
2022-06-07T23:10:00Z,0.846,11.9
2022-06-07T23:05:00Z,0.819,11.9
2022-06-07T23:00:00Z,0.869,11.9
2022-06-07T22:55:00Z,0.859,11.9
2022-06-07T22:50:00Z,0.872,11.9
2022-06-07T22:45:00Z,0.875,11.9
2022-06-07T22:40:00Z,0.875,11.9
2022-06-07T22:35:00Z,0.88,11.9
2022-06-07T22:30:00Z,0.944,11.9
2022-06-07T22:25:00Z,0.912,11.9
2022-06-07T22:20:00Z,0.89,11.9
2022-06-07T22:15:00Z,0.91,11.9
2022-06-07T22:10:00Z,0.932,11.9
2022-06-07T22:05:00Z,0.956,11.9
2022-06-07T22:00:00Z,0.908,11.9
2022-06-07T21:55:00Z,0.934,11.8
2022-06-07T21:50:00Z,0.937,11.8
2022-06-07T21:45:00Z,0.94,11.8
2022-06-07T21:40:00Z,0.955,11.8
2022-06-07T21:35:00Z,0.966,11.8
2022-06-07T21:30:00Z,0.954,11.8
2022-06-07T21:25:00Z,0.936,11.8
2022-06-07T21:20:00Z,0.96,11.8
2022-06-07T21:15:00Z,0.922,11.8
2022-06-07T21:10:00Z,0.936,11.8
2022-06-07T21:05:00Z,0.984,11.8
2022-06-07T21:00:00Z,0.969,11.8
2022-06-07T20:55:00Z,0.959,11.8
2022-06-07T20:50:00Z,0.948,11.8
2022-06-07T20:45:00Z,0.977,11.8
2022-06-07T20:40:00Z,1.007,11.8
2022-06-07T20:35:00Z,0.977,11.9
2022-06-07T20:30:00Z,0.972,11.9
2022-06-07T20:25:00Z,0.99,11.9
2022-06-07T20:20:00Z,1.02,11.9
2022-06-07T20:15:00Z,0.981,11.9
2022-06-07T20:10:00Z,0.975,11.9
2022-06-07T20:05:00Z,0.998,11.9
2022-06-07T20:00:00Z,0.952,11.9
2022-06-07T19:55:00Z,1.002,11.9
2022-06-07T19:50:00Z,0.99,11.9
2022-06-07T19:45:00Z,0.976,11.9
2022-06-07T19:40:00Z,0.978,11.9
2022-06-07T19:35:00Z,0.963,11.9
2022-06-07T19:30:00Z,0.966,11.9
2022-06-07T19:25:00Z,0.919,11.9
2022-06-07T19:20:00Z,0.946,11.9
2022-06-07T19:15:00Z,0.957,11.9
2022-06-07T19:10:00Z,0.951,11.9
2022-06-07T19:05:00Z,0.938,11.9
2022-06-07T19:00:00Z,0.95,11.9
2022-06-07T18:55:00Z,0.949,11.9
2022-06-07T18:50:00Z,0.937,11.9
2022-06-07T18:45:00Z,0.937,11.8
2022-06-07T18:40:00Z,0.953,11.8
2022-06-07T18:35:00Z,0.944,11.8
2022-06-07T18:30:00Z,0.94,11.8
2022-06-07T18:25:00Z,0.913,11.8
2022-06-07T18:20:00Z,0.915,11.8
2022-06-07T18:15:00Z,0.9,11.8
2022-06-07T18:10:00Z,0.913,11.8
2022-06-07T18:05:00Z,0.922,11.8
2022-06-07T18:00:00Z,0.895,11.8
2022-06-07T17:55:00Z,0.917,11.8
2022-06-07T17:50:00Z,0.914,11.8
2022-06-07T17:45:00Z,0.884,11.8
2022-06-07T17:40:00Z,0.876,11.8
2022-06-07T17:35:00Z,0.9,11.8
2022-06-07T17:30:00Z,0.897,11.8
2022-06-07T17:25:00Z,0.872,11.8
2022-06-07T17:20:00Z,0.868,11.8
2022-06-07T17:15:00Z,0.892,11.8
2022-06-07T17:10:00Z,0.846,11.8
2022-06-07T17:05:00Z,0.842,11.8
2022-06-07T17:00:00Z,0.83,11.8
2022-06-07T16:55:00Z,0.817,11.8
2022-06-07T16:50:00Z,0.812,11.8
2022-06-07T16:45:00Z,0.824,11.8
2022-06-07T16:40:00Z,0.765,11.8
2022-06-07T16:35:00Z,0.787,11.8
2022-06-07T16:30:00Z,0.817,11.8
2022-06-07T16:25:00Z,0.768,11.8
2022-06-07T16:20:00Z,0.791,11.8
2022-06-07T16:15:00Z,0.783,11.8
2022-06-07T16:10:00Z,0.761,11.7
2022-06-07T16:05:00Z,0.761,11.7
2022-06-07T16:00:00Z,0.783,11.7
2022-06-07T15:55:00Z,0.735,11.7
2022-06-07T15:50:00Z,0.741,11.7
2022-06-07T15:45:00Z,0.768,11.7
2022-06-07T15:40:00Z,0.77,11.7
2022-06-07T15:35:00Z,0.767,11.7
2022-06-07T15:30:00Z,0.756,11.7
2022-06-07T15:25:00Z,0.761,11.7
2022-06-07T15:20:00Z,0.752,11.7
2022-06-07T15:15:00Z,0.745,11.7
2022-06-07T15:10:00Z,0.744,11.7
2022-06-07T15:05:00Z,0.703,11.7
2022-06-07T15:00:00Z,0.723,11.7
2022-06-07T14:55:00Z,0.74,11.7
2022-06-07T14:50:00Z,0.748,11.7
2022-06-07T14:45:00Z,0.735,11.7
2022-06-07T14:40:00Z,0.727,11.7
2022-06-07T14:35:00Z,0.733,11.7
2022-06-07T14:30:00Z,0.724,11.7
2022-06-07T14:25:00Z,0.7,11.7
2022-06-07T14:20:00Z,0.739,11.7
2022-06-07T14:15:00Z,0.755,11.7
2022-06-07T14:10:00Z,0.764,11.7
2022-06-07T14:05:00Z,0.769,11.7
2022-06-07T14:00:00Z,0.763,11.6
2022-06-07T13:55:00Z,0.799,11.6
2022-06-07T13:50:00Z,0.799,11.6
2022-06-07T13:45:00Z,0.791,11.6
2022-06-07T13:40:00Z,0.775,11.5
2022-06-07T13:35:00Z,0.797,11.5
2022-06-07T13:30:00Z,0.774,11.5
2022-06-07T13:25:00Z,0.758,11.5
2022-06-07T13:20:00Z,0.789,11.5
2022-06-07T13:15:00Z,0.763,11.5
2022-06-07T13:10:00Z,0.76,11.5
2022-06-07T13:05:00Z,0.769,11.5
2022-06-07T13:00:00Z,0.761,11.6
2022-06-07T12:55:00Z,0.79,11.6
2022-06-07T12:50:00Z,0.815,11.6
2022-06-07T12:45:00Z,0.812,11.6
