fecha,marea
2022-10-16T23:20:02Z,0.829
2022-10-16T23:15:02Z,0.93
2022-10-16T23:10:02Z,0.781
2022-10-16T23:05:02Z,0.893
2022-10-16T23:00:02Z,0.839
2022-10-16T22:55:02Z,0.827
2022-10-16T22:50:02Z,0.856
2022-10-16T22:45:02Z,0.848
2022-10-16T22:40:02Z,0.813
2022-10-16T22:35:02Z,0.817
2022-10-16T22:30:02Z,0.864
2022-10-16T22:25:02Z,0.9
2022-10-16T22:20:02Z,0.883
2022-10-16T22:15:02Z,0.93
2022-10-16T22:10:02Z,0.823
2022-10-16T22:05:02Z,0.8
2022-10-16T22:00:02Z,0.873
2022-10-16T21:55:02Z,0.885
2022-10-16T21:50:02Z,0.907
2022-10-16T21:45:02Z,0.84
2022-10-16T21:40:02Z,0.877
2022-10-16T21:35:02Z,0.89
2022-10-16T21:30:02Z,0.84
2022-10-16T21:25:02Z,0.826
2022-10-16T21:20:02Z,0.823
2022-10-16T21:15:02Z,0.861
2022-10-16T21:10:02Z,0.912
2022-10-16T21:05:02Z,0.854
2022-10-16T21:00:02Z,0.838
2022-10-16T20:55:02Z,0.84
2022-10-16T20:50:02Z,0.879
2022-10-16T20:45:02Z,0.882
2022-10-16T20:40:02Z,0.834
2022-10-16T20:35:02Z,0.823
2022-10-16T20:30:02Z,0.822
2022-10-16T20:25:02Z,0.836
2022-10-16T20:20:02Z,0.853
2022-10-16T20:15:02Z,0.84
2022-10-16T20:10:03Z,0.831
2022-10-16T20:05:03Z,0.843
2022-10-16T20:00:02Z,0.931
2022-10-16T19:55:02Z,0.851
2022-10-16T19:50:02Z,0.857
2022-10-16T19:45:02Z,0.889
2022-10-16T19:40:02Z,0.888
2022-10-16T19:35:02Z,0.894
2022-10-16T19:30:02Z,0.821
2022-10-16T19:25:02Z,0.89
2022-10-16T19:20:02Z,0.888
2022-10-16T19:15:02Z,0.854
2022-10-16T19:10:02Z,0.882
2022-10-16T19:05:02Z,0.893
2022-10-16T19:00:02Z,0.885
2022-10-16T18:55:02Z,0.872
2022-10-16T18:50:02Z,0.835
2022-10-16T18:45:02Z,0.939
2022-10-16T18:40:02Z,0.87
2022-10-16T18:35:02Z,0.877
2022-10-16T18:30:02Z,0.891
2022-10-16T18:25:02Z,0.899
2022-10-16T18:20:02Z,0.874
2022-10-16T18:15:02Z,0.833
2022-10-16T18:10:02Z,0.895
2022-10-16T18:05:02Z,0.891
2022-10-16T18:00:02Z,0.833
2022-10-16T17:55:02Z,0.852
2022-10-16T17:50:02Z,0.89
2022-10-16T17:45:02Z,0.905
2022-10-16T17:40:02Z,0.942
2022-10-16T17:35:02Z,0.851
2022-10-16T17:30:02Z,0.894
2022-10-16T17:25:02Z,0.893
2022-10-16T17:20:02Z,0.857
2022-10-16T17:15:02Z,0.908
2022-10-16T17:10:02Z,0.878
2022-10-16T17:05:02Z,0.893
2022-10-16T17:00:02Z,0.892
2022-10-16T16:55:02Z,0.912
2022-10-16T16:50:02Z,0.921
2022-10-16T16:45:02Z,0.892
2022-10-16T16:40:02Z,0.919
2022-10-16T16:35:02Z,0.901
2022-10-16T16:30:02Z,0.934
2022-10-16T16:25:02Z,0.95
2022-10-16T16:20:02Z,0.937
2022-10-16T16:15:02Z,0.941
2022-10-16T16:10:02Z,0.947
2022-10-16T16:05:02Z,0.955
2022-10-16T16:00:02Z,0.94
2022-10-16T15:55:02Z,0.967
2022-10-16T15:50:02Z,0.996
2022-10-16T15:45:02Z,0.977
2022-10-16T15:40:02Z,1.018
2022-10-16T15:35:02Z,0.966
2022-10-16T15:30:02Z,0.964
2022-10-16T15:25:02Z,0.999
2022-10-16T15:20:02Z,1.012
2022-10-16T15:15:02Z,1.008
2022-10-16T15:10:02Z,1.005
2022-10-16T15:05:02Z,1.019
2022-10-16T15:00:02Z,1.02
2022-10-16T14:55:02Z,0.984
2022-10-16T14:50:02Z,0.996
2022-10-16T14:45:02Z,1.013
2022-10-16T14:40:02Z,1.014
2022-10-16T14:35:02Z,1.062
2022-10-16T14:30:02Z,1.012
2022-10-16T14:25:02Z,1.044
2022-10-16T14:20:02Z,1.045
2022-10-16T14:15:02Z,1.042
2022-10-16T14:10:02Z,1.019
2022-10-16T14:05:02Z,1.015
2022-10-16T14:00:02Z,1.024
2022-10-16T13:55:02Z,1.081
2022-10-16T13:50:02Z,1.024
2022-10-16T13:45:02Z,1.02
2022-10-16T13:40:02Z,1.028
2022-10-16T13:35:02Z,1.024
2022-10-16T13:30:02Z,1.064
2022-10-16T13:25:02Z,1.003
2022-10-16T13:20:02Z,1.026
2022-10-16T13:15:02Z,1.025
2022-10-16T13:10:02Z,0.995
2022-10-16T13:05:02Z,1.036
2022-10-16T13:00:02Z,1.02
2022-10-16T12:55:02Z,0.985
2022-10-16T12:50:02Z,0.981
2022-10-16T12:45:02Z,0.958
2022-10-16T12:40:02Z,0.97
2022-10-16T12:35:02Z,1.01
2022-10-16T12:30:02Z,0.965
2022-10-16T12:25:02Z,0.982
2022-10-16T12:20:02Z,0.934
2022-10-16T12:15:02Z,0.953
2022-10-16T12:10:02Z,0.921
2022-10-16T12:05:02Z,0.909
2022-10-16T12:00:02Z,0.928
2022-10-16T11:55:02Z,0.885
2022-10-16T11:50:02Z,0.906
2022-10-16T11:45:02Z,0.907
2022-10-16T11:40:02Z,0.889
2022-10-16T11:35:02Z,0.959
2022-10-16T11:30:02Z,0.899
